2.000000000000000000e+02,2.220230102539062500e+00
4.000000000000000000e+02,1.890927314758300781e+00
6.000000000000000000e+02,1.692829251289367676e+00
8.000000000000000000e+02,1.903300523757934570e+00
1.000000000000000000e+03,1.516618013381958008e+00
1.200000000000000000e+03,1.472957491874694824e+00
1.400000000000000000e+03,1.354960918426513672e+00
1.600000000000000000e+03,1.724224567413330078e+00
1.800000000000000000e+03,1.122485041618347168e+00
2.000000000000000000e+03,1.577445983886718750e+00
