2.000000000000000000e+02,1.985003829002380371e+00
4.000000000000000000e+02,1.683804035186767578e+00
6.000000000000000000e+02,1.560790419578552246e+00
8.000000000000000000e+02,1.738816976547241211e+00
1.000000000000000000e+03,1.259199261665344238e+00
1.200000000000000000e+03,1.071564793586730957e+00
1.400000000000000000e+03,1.205290555953979492e+00
1.600000000000000000e+03,1.181505084037780762e+00
1.800000000000000000e+03,8.443022966384887695e-01
2.000000000000000000e+03,8.769650459289550781e-01
